id	HC1	HC2	HC3	HC4	HC5	HC6	AD1	AD2	AD3	AD4	AD5	AD6
k__Bacteria|p__Acidobacteria|c__Solibacteres|o__Solibacterales	0	0	0	0	0	0	0	0.04375	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales|f__C111	0	0	0	0	0	0	0	0.0625	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium	0.0992	0.0237315875613748	0.0238970588235294	0.017741935483871	0.106508875739645	0.0166666666666667	0.0143003064351379	0	0	0	0.0395256916996047	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Geodermatophilaceae	0	0.0114566284779051	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Micrococcus	0.0016	0	0	0	0	0.0222222222222222	0	0	0	0	0.0118577075098814	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia	0	0.0286415711947627	0.0211397058823529	0.0516129032258065	0.0686390532544379	0.0777777777777778	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micromonosporaceae	0	0	0	0	0.0118343195266272	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardioidaceae	0	0	0	0	0	0	0.0153217568947906	0.04375	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardioidaceae|g__Aeromicrobium	0	0	0	0	0	0	0.0255362614913177	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Sporichthyaceae	0	0.0130932896890344	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Streptomycetaceae|g__Streptomyces	0	0	0	0	0	0	0	0	0	0	0	0.0487804878048781
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Streptosporangiaceae|g__Streptosporangium	0	0	0	0	0	0	0.0561797752808989	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Thermomonosporaceae|g__Actinomadura	0	0	0	0	0	0	0.0153217568947906	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	0	0	0	0	0	0	0.0183861082737487	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	0.0128	0.00981996726677578	0.0147058823529412	0.0225806451612903	0	0.0555555555555556	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	0.0208	0.0368248772504092	0.0477941176470588	0.0225806451612903	0.0248520710059172	0.108333333333333	0	0.0125	0.429411764705882	0.240740740740741	0.177865612648221	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Paraprevotellaceae|g__Prevotella	0.0032	0.0204582651391162	0.0101102941176471	0.00161290322580645	0.00710059171597633	0.0166666666666667	0	0	0.0352941176470588	0	0	0.00975609756097561
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	0.008	0	0	0.00806451612903226	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	0	0.0155482815057283	0.00735294117647059	0	0.00473372781065089	0.00833333333333333	0	0	0.0411764705882353	0.0277777777777778	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas	0.0624	0	0.00183823529411765	0	0.0189349112426036	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	0.0208	0.0220949263502455	0.0110294117647059	0.0032258064516129	0.00591715976331361	0.0444444444444444	0	0	0.0647058823529412	0	0.075098814229249	0.0390243902439024
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	0.0032	0.0147299509001637	0.0174632352941176	0.00806451612903226	0.00828402366863905	0.0111111111111111	0	0	0	0.0648148148148148	0	0.0146341463414634
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	0	0	0.00919117647058824	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__S24-7	0.1184	0.149754500818331	0.0808823529411765	0.0967741935483871	0.208284023668639	0.277777777777778	0.0224719101123595	0.04375	0.0294117647058824	0	0	0
