,names,PCoA1,PCoA2,Group,Site
1,AD1,-0.291498366886906,-0.226242291059898,Case,Skin
2,AD2,-0.206644364099885,-0.271161364652227,Case,Skin
3,AD3,-0.189955035889751,0.379522511672465,Case,Skin
4,AD4,-0.256223702173907,0.101996764870613,Case,Skin
5,AD5,-0.26778883293489,0.258875640586125,Case,Skin
6,AD6,-0.170279640227357,-0.267550611242147,Case,Skin
7,HC1,0.275653129547539,-0.015942373185316,Control,Skin
8,HC2,0.235836645502764,-0.0544146741003668,Control,Skin
9,HC3,0.264138704615862,-0.0321369066006007,Control,Skin
10,HC4,0.257207499814266,0.139486390220018,Control,Skin
11,HC5,0.238095677759034,-0.0692250219783641,Control,Skin
12,HC6,0.111458284973231,0.0567919354696982,Control,Skin
