AD1 AD2 AD3 AD4 AD5 AD6 HC1 HC2 HC3 HC4 HC5 HC6
AD1 0 0.605091974540127 0.79412 0.688193118068819 0.690949271521854 0.742591287043565 0.748721256393718 0.74708 0.74688 0.77441 0.733337333373334 0.748721256393718
AD2 0.605091974540127 0 0.7159985799929 0.459722701386493 0.706867328316792 0.47683 0.6851 0.601248006240031 0.610668053340267 0.707358536792684 0.586313794706921 0.54966
AD3 0.79412 0.7159985799929 0 0.43138 0.525689486210276 0.745338726693633 0.707718538592693 0.673836738367384 0.693016930169302 0.576285762857629 0.707734154683094 0.549677748388742
AD4 0.688193118068819 0.459722701386493 0.43138 0 0.468895933122006 0.574072129639352 0.6720016399918 0.54941 0.66729 0.67474 0.552675526755268 0.440752796236019
AD5 0.690949271521854 0.706867328316792 0.525689486210276 0.468895933122006 0 0.718017049573761 0.692157696057598 0.690516189676207 0.694836103277935 0.691566168676626 0.69350306496935 0.580690482737932
AD6 0.742591287043565 0.47683 0.745338726693633 0.574072129639352 0.718017049573761 0 0.7024 0.567107835539178 0.699458497292486 0.753218766093831 0.613014195212928 0.579
HC1 0.748721256393718 0.6851 0.707718538592693 0.6720016399918 0.692157696057598 0.7024 0 0.364346821734109 0.376046880234401 0.456927284636423 0.305409581143717 0.44842
HC2 0.74708 0.601248006240031 0.673836738367384 0.54941 0.690516189676207 0.567107835539178 0.364346821734109 0 0.280282802828028 0.374143741437414 0.267885357707154 0.292336461682308
HC3 0.74688 0.610668053340267 0.693016930169302 0.66729 0.694836103277935 0.699458497292486 0.376046880234401 0.280282802828028 0 0.408744087440874 0.388487769755395 0.423097115485577
HC4 0.77441 0.707358536792684 0.576285762857629 0.67474 0.691566168676626 0.753218766093831 0.456927284636423 0.374143741437414 0.408744087440874 0 0.387907758155163 0.424987124935625
HC5 0.733337333373334 0.586313794706921 0.707734154683094 0.552675526755268 0.69350306496935 0.613014195212928 0.305409581143717 0.267885357707154 0.388487769755395 0.387907758155163 0 0.237718565778487
HC6 0.748721256393718 0.54966 0.549677748388742 0.440752796236019 0.580690482737932 0.579 0.44842 0.292336461682308 0.423097115485577 0.424987124935625 0.237718565778487 0
