,Acinetobacter,Actinomadura,Aeromicrobium,Aggregatibacter,Alistipes,Anaerococcus,Arcobacter,Bacillus,Bacteroides,Brevundimonas,Brochothrix,Candidatus_Arthromitus,Chitinophaga,Chryseobacterium,Clostridium,Collinsella,Corynebacterium,Desulfurispora,Devosia,Enhydrobacter,Enterococcus,Faecalibacterium,Finegoldia,Flavobacterium,Flexispira,Granulicatella,Haemophilus,Helicobacter,Kaistobacter,Klebsiella,Lactobacillus,Micrococcus,Myroides,Neisseria,Novosphingobium,Oscillospira,Paenisporosarcina,Parabacteroides,Paracoccus,Pedobacter,Peptococcus,Phyllobacterium,Porphyromonas,Prevotella,Pseudomonas,Psychrobacter,Rhodoplanes,Roseburia,Rothia,Ruminococcus,Sedimentibacter,Sphingobacterium,Sphingobium,Staphylococcus,Stenotrophomonas,Steroidobacter,Streptococcus,Streptomyces,Streptosporangium,Unclassified,Weissella
Acinetobacter,1,0.340889327490372,0.340889327490372,0.340889327490372,-0.243492376778837,-0.243492376778837,0.425600123737281,0.146095426067302,-0.574157426645413,0.266124820554648,-0.243492376778837,-0.315478167844574,0.243492376778837,0.598480641940441,0.2080986321597,0.340889327490372,-0.361179367630218,-0.243492376778837,0.340889327490372,-0.408695652173913,-0.0479549435196936,-0.389708324984474,0.0299718396998085,0.340889327490372,0.515515642836706,-0.352593246414524,-0.208695652173913,-0.441359110278446,0.146095426067302,0.146095426067302,-0.468978845195525,-0.153533550319989,0.340889327490372,-0.243492376778837,0.535683228913441,0.0510332330336811,0.340889327490372,-0.532732498328833,0.470302908680923,0.340889327490372,0.146095426067302,0.340889327490372,-0.460600650959968,-0.133502821662769,0.716489901493283,-0.243492376778837,0.146095426067302,-0.359662076397702,-0.478260869565217,-0.359662076397702,0.146095426067302,0.716489901493283,0.437588859617204,0.263752189358315,0.340889327490372,-0.243492376778837,-0.501322213829699,0.438286278201907,0.340889327490372,0.265131896362613,0.146095426067302
Actinomadura,0.340889327490372,1,1,1,-0.0909090909090909,-0.0909090909090909,0.604267319353088,-0.0909090909090909,-0.437478639259807,0.515902637341361,-0.0909090909090909,-0.207856489992599,-0.0909090909090909,0.571605347479646,-0.279700776630427,1,-0.133366267342316,-0.0909090909090909,1,-0.243492376778837,-0.134281626522908,-0.207856489992599,-0.134281626522908,1,-0.134281626522908,-0.207856489992599,-0.243492376778837,-0.437478639259807,-0.0909090909090909,-0.0909090909090909,-0.316983388996208,-0.171967545780454,1,-0.0909090909090909,-0.0909090909090909,0.363748857487047,1,-0.279700776630427,-0.279700776630427,1,-0.0909090909090909,1,-0.171967545780454,-0.395819547420188,0.630547667861664,-0.0909090909090909,-0.0909090909090909,-0.134281626522908,-0.243492376778837,-0.134281626522908,-0.0909090909090909,0.630547667861664,0.738548945875996,-0.134281626522908,1,-0.0909090909090909,-0.316983388996208,-0.0909090909090909,1,-0.218356573370573,-0.0909090909090909
Aeromicrobium,0.340889327490372,1,1,1,-0.0909090909090909,-0.0909090909090909,0.604267319353088,-0.0909090909090909,-0.437478639259807,0.515902637341361,-0.0909090909090909,-0.207856489992599,-0.0909090909090909,0.571605347479646,-0.279700776630427,1,-0.133366267342316,-0.0909090909090909,1,-0.243492376778837,-0.134281626522908,-0.207856489992599,-0.134281626522908,1,-0.134281626522908,-0.207856489992599,-0.243492376778837,-0.437478639259807,-0.0909090909090909,-0.0909090909090909,-0.316983388996208,-0.171967545780454,1,-0.0909090909090909,-0.0909090909090909,0.363748857487047,1,-0.279700776630427,-0.279700776630427,1,-0.0909090909090909,1,-0.171967545780454,-0.395819547420188,0.630547667861664,-0.0909090909090909,-0.0909090909090909,-0.134281626522908,-0.243492376778837,-0.134281626522908,-0.0909090909090909,0.630547667861664,0.738548945875996,-0.134281626522908,1,-0.0909090909090909,-0.316983388996208,-0.0909090909090909,1,-0.218356573370573,-0.0909090909090909
Aggregatibacter,0.340889327490372,1,1,1,-0.0909090909090909,-0.0909090909090909,0.604267319353088,-0.0909090909090909,-0.437478639259807,0.515902637341361,-0.0909090909090909,-0.207856489992599,-0.0909090909090909,0.571605347479646,-0.279700776630427,1,-0.133366267342316,-0.0909090909090909,1,-0.243492376778837,-0.134281626522908,-0.207856489992599,-0.134281626522908,1,-0.134281626522908,-0.207856489992599,-0.243492376778837,-0.437478639259807,-0.0909090909090909,-0.0909090909090909,-0.316983388996208,-0.171967545780454,1,-0.0909090909090909,-0.0909090909090909,0.363748857487047,1,-0.279700776630427,-0.279700776630427,1,-0.0909090909090909,1,-0.171967545780454,-0.395819547420188,0.630547667861664,-0.0909090909090909,-0.0909090909090909,-0.134281626522908,-0.243492376778837,-0.134281626522908,-0.0909090909090909,0.630547667861664,0.738548945875996,-0.134281626522908,1,-0.0909090909090909,-0.316983388996208,-0.0909090909090909,1,-0.218356573370573,-0.0909090909090909
Alistipes,-0.243492376778837,-0.0909090909090909,-0.0909090909090909,-0.0909090909090909,1,-0.0909090909090909,-0.134281626522908,-0.0909090909090909,0.131243591777942,0.401257606821059,1,0.571605347479646,-0.0909090909090909,-0.207856489992599,0.233083980525356,-0.0909090909090909,0.222277112237194,-0.0909090909090909,-0.0909090909090909,0.243492376778837,-0.134281626522908,-0.207856489992599,-0.134281626522908,-0.0909090909090909,-0.134281626522908,0.259820612490748,0.243492376778837,-0.218739319629904,-0.0909090909090909,-0.0909090909090909,-0.316983388996208,-0.171967545780454,-0.0909090909090909,-0.0909090909090909,-0.0909090909090909,-0.207856489992599,-0.0909090909090909,0.139850388315213,0.233083980525356,-0.0909090909090909,-0.0909090909090909,-0.0909090909090909,0.401257606821059,-0.0439799497133542,-0.171967545780454,1,-0.0909090909090909,-0.134281626522908,0.146095426067302,-0.134281626522908,-0.0909090909090909,-0.171967545780454,-0.134281626522908,0.604267319353088,-0.0909090909090909,-0.0909090909090909,0.407550071566554,-0.0909090909090909,-0.0909090909090909,-0.131013944022344,-0.0909090909090909
Anaerococcus,-0.243492376778837,-0.0909090909090909,-0.0909090909090909,-0.0909090909090909,-0.0909090909090909,1,-0.134281626522908,-0.0909090909090909,-0.218739319629904,-0.171967545780454,-0.0909090909090909,0.259820612490748,-0.0909090909090909,-0.207856489992599,-0.279700776630427,-0.0909090909090909,0.400098802026948,-0.0909090909090909,-0.0909090909090909,-0.243492376778837,0.604267319353088,-0.207856489992599,0.604267319353088,-0.0909090909090909,-0.134281626522908,0.467677102483347,0.535683228913441,-0.131243591777942,-0.0909090909090909,-0.0909090909090909,0.135850023855518,0.401257606821059,-0.0909090909090909,1,-0.0909090909090909,-0.207856489992599,-0.0909090909090909,-0.279700776630427,-0.279700776630427,-0.0909090909090909,-0.0909090909090909,-0.0909090909090909,0.630547667861664,0.0439799497133542,-0.171967545780454,-0.0909090909090909,-0.0909090909090909,-0.134281626522908,-0.243492376778837,-0.134281626522908,-0.0909090909090909,-0.171967545780454,-0.134281626522908,-0.134281626522908,-0.0909090909090909,-0.0909090909090909,0.498116754136899,-0.0909090909090909,-0.0909090909090909,-0.0436713146741147,-0.0909090909090909
Arcobacter,0.425600123737281,0.604267319353088,0.604267319353088,0.604267319353088,-0.134281626522908,-0.134281626522908,1,-0.134281626522908,-0.0511574030791943,0.853765578276966,-0.134281626522908,-0.307024383155036,0.738548945875996,0.678012179467372,0.146322338899945,0.604267319353088,0.158690442703968,-0.134281626522908,0.604267319353088,-0.359662076397702,-0.198347107438017,-0.307024383155036,0.5,0.604267319353088,0.392561983471074,-0.307024383155036,0.185825406138813,-0.261172005193782,-0.134281626522908,-0.134281626522908,0.0390179579672251,0.296348382542418,0.604267319353088,-0.134281626522908,-0.134281626522908,0.620445107625803,0.604267319353088,-0.413145427482198,-0.413145427482198,0.604267319353088,-0.134281626522908,0.604267319353088,-0.254012899322073,0.0487220182507157,0.747926870226103,-0.134281626522908,-0.134281626522908,-0.198347107438017,-0.359662076397702,-0.198347107438017,-0.134281626522908,0.747926870226103,0.983471074380165,-0.198347107438017,0.604267319353088,-0.134281626522908,-0.250829729789304,-0.134281626522908,0.604267319353088,-0.532181156390174,-0.134281626522908
Bacillus,0.146095426067302,-0.0909090909090909,-0.0909090909090909,-0.0909090909090909,-0.0909090909090909,-0.0909090909090909,-0.134281626522908,1,0.0437478639259807,-0.171967545780454,-0.0909090909090909,0.467677102483347,-0.0909090909090909,-0.207856489992599,0.139850388315213,-0.0909090909090909,0.133366267342316,-0.0909090909090909,-0.0909090909090909,0.438286278201907,0.738548945875996,0.259820612490748,-0.134281626522908,-0.0909090909090909,-0.134281626522908,0.363748857487047,0.146095426067302,-0.306235047481865,1,1,-0.0452833412851726,-0.171967545780454,-0.0909090909090909,-0.0909090909090909,-0.0909090909090909,-0.207856489992599,-0.0909090909090909,0.326317572735498,0.326317572735498,-0.0909090909090909,1,-0.0909090909090909,-0.171967545780454,0.131939849140063,-0.171967545780454,-0.0909090909090909,1,-0.134281626522908,0.243492376778837,-0.134281626522908,1,-0.171967545780454,-0.134281626522908,-0.134281626522908,-0.0909090909090909,-0.0909090909090909,0.316983388996208,-0.0909090909090909,-0.0909090909090909,0.0436713146741147,1
Bacteroides,-0.574157426645413,-0.437478639259807,-0.437478639259807,-0.437478639259807,0.131243591777942,-0.218739319629904,-0.0511574030791943,0.0437478639259807,1,0.018390075714971,0.131243591777942,-0.0416775216015041,0.306235047481865,-0.172961714646242,-0.128991117231367,-0.437478639259807,0.0160448456190209,-0.0437478639259807,-0.437478639259807,0.281219964071223,-0.113084785754009,0.0791872910428578,0.0969298163605787,-0.437478639259807,-0.142702229641963,0.287574899050378,0.0390583283432253,0.515789473684211,0.0437478639259807,0.0437478639259807,0.631954775397735,0.239070984294623,-0.437478639259807,-0.218739319629904,-0.306235047481865,0.222974740568047,-0.437478639259807,0.766468957461748,-0.472967429848347,-0.437478639259807,0.0437478639259807,-0.437478639259807,-0.119535492147312,0.44797805186287,-0.354008957513192,0.131243591777942,0.0437478639259807,0.113084785754009,0.124986650698321,0.145394724540868,0.0437478639259807,-0.354008957513192,-0.142702229641963,-0.156164704136488,-0.437478639259807,-0.0437478639259807,0.0145276959861548,-0.437478639259807,-0.437478639259807,-0.34325796948579,0.0437478639259807
Brevundimonas,0.266124820554648,0.515902637341361,0.515902637341361,0.515902637341361,0.401257606821059,-0.171967545780454,0.853765578276966,-0.171967545780454,0.018390075714971,1,0.401257606821059,0.016382928126843,0.630547667861664,0.518792724016696,0.254748971249373,0.515902637341361,0.26162512084835,-0.171967545780454,0.515902637341361,-0.204711400426652,-0.254012899322073,-0.393190275044233,0.388075262853166,0.515902637341361,0.28929246867236,-0.147446353141587,0.296831530618646,-0.358606476441935,-0.171967545780454,-0.171967545780454,-0.133248757788297,0.180722891566265,0.515902637341361,-0.171967545780454,-0.171967545780454,0.464182963593886,0.515902637341361,-0.308638176705971,-0.259647989927245,0.515902637341361,-0.171967545780454,0.515902637341361,-0.0240963855421687,0.0184876364829525,0.602409638554217,0.401257606821059,-0.171967545780454,-0.254012899322073,-0.255889250533315,-0.254012899322073,-0.171967545780454,0.602409638554217,0.839653750536851,0.134062363531094,0.515902637341361,-0.171967545780454,-0.0190355368268996,-0.171967545780454,0.515902637341361,-0.559915860944389,-0.171967545780454
