,Acinetobacter,Actinomadura,Aeromicrobium,Aggregatibacter,Alistipes,Anaerococcus,Arcobacter,Bacillus,Bacteroides,Brevundimonas,Brochothrix,Candidatus_Arthromitus,Chitinophaga,Chryseobacterium,Clostridium,Collinsella,Corynebacterium,Desulfurispora,Devosia,Enhydrobacter,Enterococcus,Faecalibacterium,Finegoldia,Flavobacterium,Flexispira,Granulicatella,Haemophilus,Helicobacter,Kaistobacter,Klebsiella,Lactobacillus,Micrococcus,Myroides,Neisseria,Novosphingobium,Oscillospira,Paenisporosarcina,Parabacteroides,Paracoccus,Pedobacter,Peptococcus,Phyllobacterium,Porphyromonas,Prevotella,Pseudomonas,Psychrobacter,Rhodoplanes,Roseburia,Rothia,Ruminococcus,Sedimentibacter,Sphingobacterium,Sphingobium,Staphylococcus,Stenotrophomonas,Steroidobacter,Streptococcus,Streptomyces,Streptosporangium,Unclassified,Weissella
Acinetobacter,0,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.424403922226104,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.351799986791187,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.915821087485177,0.835326773229284,0.938639474744269,0.835326773229284,0.602529030535713,0.835326773229284,0.835326773229284,0.805588858697341,0.835326773229284,0.835326773229284,0.758883789729426,0.835326773229284,0.835326773229284,0.835326773229284,0.570575462891755,0.915821087485177,0.835326773229284,0.582947727061417,0.758883789729426,0.835326773229284,0.835326773229284,0.835326773229284,0.783307064203849,0.835326773229284,0.115214585026717,0.835326773229284,0.835326773229284,0.835326773229284,0.756684786824612,0.835326773229284,0.835326773229284,0.115214585026717,0.805588858697341,0.835326773229284,0.835326773229284,0.835326773229284,0.663657323109372,0.805588858697341,0.835326773229284,0.835326773229284,0.835326773229284
Actinomadura,0.27821476204797,0,0,0,0.835326773229284,0.835326773229284,0.335760489228443,0.835326773229284,0.805588858697341,0.602529030535713,0.835326773229284,0.835326773229284,0.835326773229284,0.424403922226104,0.835326773229284,0,0.835326773229284,0.835326773229284,0,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0,0.835326773229284,0.835326773229284,0.835326773229284,0.805588858697341,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0,0.835326773229284,0.835326773229284,0.835326773229284,0,0.835326773229284,0.835326773229284,0,0.835326773229284,0,0.835326773229284,0.835326773229284,0.290474228474536,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.290474228474536,0.0824292719005336,0.835326773229284,0,0.835326773229284,0.835326773229284,0.835326773229284,0,0.835326773229284,0.835326773229284
Aeromicrobium,0.27821476204797,0,0,0,0.835326773229284,0.835326773229284,0.335760489228443,0.835326773229284,0.805588858697341,0.602529030535713,0.835326773229284,0.835326773229284,0.835326773229284,0.424403922226104,0.835326773229284,0,0.835326773229284,0.835326773229284,0,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0,0.835326773229284,0.835326773229284,0.835326773229284,0.805588858697341,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0,0.835326773229284,0.835326773229284,0.835326773229284,0,0.835326773229284,0.835326773229284,0,0.835326773229284,0,0.835326773229284,0.835326773229284,0.290474228474536,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.290474228474536,0.0824292719005336,0.835326773229284,0,0.835326773229284,0.835326773229284,0.835326773229284,0,0.835326773229284,0.835326773229284
Aggregatibacter,0.27821476204797,0,0,0,0.835326773229284,0.835326773229284,0.335760489228443,0.835326773229284,0.805588858697341,0.602529030535713,0.835326773229284,0.835326773229284,0.835326773229284,0.424403922226104,0.835326773229284,0,0.835326773229284,0.835326773229284,0,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0,0.835326773229284,0.835326773229284,0.835326773229284,0.805588858697341,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0,0.835326773229284,0.835326773229284,0.835326773229284,0,0.835326773229284,0.835326773229284,0,0.835326773229284,0,0.835326773229284,0.835326773229284,0.290474228474536,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.290474228474536,0.0824292719005336,0.835326773229284,0,0.835326773229284,0.835326773229284,0.835326773229284,0,0.835326773229284,0.835326773229284
Alistipes,0.445692547399569,0.778725396245442,0.778725396245442,0.778725396245442,0,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0,0.424403922226104,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.915821087485177,0.835326773229284,0,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.335760489228443,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284
Anaerococcus,0.445692547399569,0.778725396245442,0.778725396245442,0.778725396245442,0.778725396245442,0,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.335760489228443,0.835326773229284,0.335760489228443,0.835326773229284,0.835326773229284,0.758883789729426,0.570575462891755,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.290474228474536,0.915821087485177,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.66827555447361,0.835326773229284,0.835326773229284,0.915821087485177,0.835326773229284
Arcobacter,0.16777476216009,0.0374290381434986,0.0374290381434986,0.0374290381434986,0.677358391879039,0.677358391879039,0,0.835326773229284,0.915821087485177,0.00757566177486998,0.835326773229284,0.835326773229284,0.0824292719005336,0.194133167488298,0.835326773229284,0.335760489228443,0.835326773229284,0.835326773229284,0.335760489228443,0.835326773229284,0.835326773229284,0.835326773229284,0.666085173387444,0.335760489228443,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.924378889720679,0.835326773229284,0.335760489228443,0.835326773229284,0.835326773229284,0.320517362935182,0.335760489228443,0.835326773229284,0.835326773229284,0.335760489228443,0.835326773229284,0.335760489228443,0.835326773229284,0.915821087485177,0.0824292719005336,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.0824292719005336,1.82053626072363e-07,0.835326773229284,0.335760489228443,0.835326773229284,0.835326773229284,0.835326773229284,0.335760489228443,0.58325158288316,0.835326773229284
Bacillus,0.650505462977038,0.778725396245442,0.778725396245442,0.778725396245442,0.778725396245442,0.778725396245442,0.677358391879039,0,0.915821087485177,0.835326773229284,0.835326773229284,0.758883789729426,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.805588858697341,0.0824292719005336,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0,0,0.915821087485177,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0,0.835326773229284,0.835326773229284,0.835326773229284,0,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.915821087485177,0
Bacteroides,0.0509015015103383,0.154954796864188,0.154954796864188,0.154954796864188,0.684321444931474,0.494592313127358,0.874543098554448,0.892613500726563,0,0.962203778867907,0.835326773229284,0.91978648245671,0.835326773229284,0.835326773229284,0.835326773229284,0.805588858697341,0.966868307974913,0.915821087485177,0.805588858697341,0.835326773229284,0.835326773229284,0.862350275670764,0.835326773229284,0.805588858697341,0.835326773229284,0.835326773229284,0.924378889720679,0.602529030535713,0.915821087485177,0.915821087485177,0.290474228474536,0.835326773229284,0.805588858697341,0.835326773229284,0.835326773229284,0.835326773229284,0.805588858697341,0.0628290672919029,0.758883789729426,0.805588858697341,0.915821087485177,0.805588858697341,0.835326773229284,0.805588858697341,0.835326773229284,0.835326773229284,0.915821087485177,0.835326773229284,0.835326773229284,0.835326773229284,0.915821087485177,0.835326773229284,0.835326773229284,0.835326773229284,0.805588858697341,0.915821087485177,0.969556429545357,0.805588858697341,0.805588858697341,0.835326773229284,0.915821087485177
Brevundimonas,0.40311633171893,0.0859913307490668,0.0859913307490668,0.0859913307490668,0.19608015249223,0.593047722539582,0.000409830882902802,0.593047722539582,0.954763574337818,0,0.835326773229284,0.966563359676567,0.290474228474536,0.602529030535713,0.835326773229284,0.602529030535713,0.835326773229284,0.835326773229284,0.602529030535713,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.602529030535713,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.602529030535713,0.835326773229284,0.835326773229284,0.775890976378475,0.602529030535713,0.835326773229284,0.835326773229284,0.602529030535713,0.835326773229284,0.602529030535713,0.9506159692115,0.962203778867907,0.339144816148448,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.835326773229284,0.339144816148448,0.0115946960293087,0.835326773229284,0.602529030535713,0.835326773229284,0.96211503951898,0.835326773229284,0.602529030535713,0.470231684049598,0.835326773229284
